WRONG_SUM! 17/01 13:48:27 SUM: 129  	b'*|\xf6*|\xc6*|\xbe*\xc4\x01\x00\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 209  	b'3\x00\xa8Y\x02\xff\xb1\x07B\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 175  	b'3\x00\xa8\xef@U\xd0\x80_\x84\xf0\x969\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 134  	b'\x03\x80\x00\xde\xc5\xd1g\xbc4\x98\xb44\x98\xe4h\x98\x03\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 127  	b'\x03\x9a\xff\x1d\x00\xc7\x9a\x07g\x1f\xad\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 36  	b'\xc7\x80@x\x7f\xbe\x9c\xfa\x1c\x93\xa0\x9c\xb9\xa1$k\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 54  	b'\xc7\x80@~YR\x0e\x0c\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:27 SUM: 45  	b'sd\xfc\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 118  	b'3 (\xce\xc5qg2\x14\xdc\xae\x0c\xdc\xde4\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 200  	b'\x9a\x80@/\x11\x03\x7f\x01\x00\x02\x00\xec\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 164  	b'\x9a\xda\xc7!\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 154  	b'\x9a\x80@\xde\xc5\xd1\xef\x85\x8c\x98\n'
WRONG_SUM! 17/01 13:48:28 SUM: 193  	b'\x04\xdc\xb6WR\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 78  	b'G\xa6\x98\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 195  	b'\xceGo\xcc\xcb\xa9\xb2\xf6?\xb5\xf6\xe7\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 88  	b'\xc2\x9a8\x03\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 160  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\xe0s\xf5I\xff\xa9q\x82\xfe\xfc4\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 71  	b'\x03\x80\xa0\xde\xc5\xd1\xef\xbc4\xd8\xb44\xb8\xe4(\x98\x03\x00\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 141  	b'3\x10\xa8Y\xa2\xff\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 213  	b'3 \xa8\xef\xc5U\xd0\x80_\x8c\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:48:28 SUM: 211  	b's\xf5I\xff}\x00'
