WRONG_SUM! 17/01 13:51:13 SUM: 56  	b'\xdc\xde4\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 241  	b'\x9a\x80@/\x11\x01\x7f\x01\x02\x02\x04\xec\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 196  	b'\x9a\xda\xc7\x01\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 121  	b'\x9a\x80@\xde\xc5\xd1\xef\x85\x8c\xb9\n'
WRONG_SUM! 17/01 13:51:13 SUM: 1  	b'\x14\xdc\xb6W\x02\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 78  	b'G\xa6\x98\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 225  	b's\xf5I\xff\xa9q\xa6\xff\xd3~\xfe`\x01\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 212  	b'\xf3\x1a\xfc"\x01\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 203  	b'\x03\x80@\xde\xc5\xd1\xef\xbc4\x98\xb44\xb8\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 7  	b'3\x00\xa8\x0f1\xe4\xb1\x07B\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 176  	b'3 \xa8\xef\xc5U\xd0\x85_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 132  	b'\xce\x8fo\xe6\x8b\xbf*-\xbf\xaa\xd9\xe7\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 28  	b'3\xe0\xeeY\xfe\x8e\xfc\x02\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 175  	b'\x03\xdaA\x06\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 73  	b'\x03\x9a\xff\x1d\x00\xc7\x9a\xa0\xa6h\x02\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:51:13 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
