WRONG_SUM! 17/01 13:56:00 SUM: 134  	b's\xf5I\xff\xa9q\x82\xfe\xfc4\x00\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 147  	b'\x03\x80\x00\xde\xc5\xd1g\xbc4\x98\xb44\xb8\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 202  	b'3 \xa8\x0f1\xed\xb1\x07V\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 57  	b'3 \xa8\xef@U\xd0\x81_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 241  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00oU\xff\xc9\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 5  	b'\xce\x0fo\xcc\xcb\xa9j\xf6?\xb5\xf6\xe7\x00s\xf5I\xff}\x00\xc7\x9a\xa0\xa6h\x02\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 10  	b'\xc7\x80@x\x85\xe1O\x1c2\xf4\x9c\xb9\xe8$i\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 210  	b'\xc7\x80@~\x16\xf9\x0e\x0c\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 45  	b'sd\xfc\x00'
WRONG_SUM! 17/01 13:56:00 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 18  	b'3 (\xce\xc5q\xef2\x14\xdc\xae\x0c\xdc\xde4\xdc\xae\x10\x1c\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 197  	b'\x9a\xda\xc7\x00\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 185  	b'\x9a\x80\x00\xde\xc5\xd1\xef\x85\x8c\xb9\n'
WRONG_SUM! 17/01 13:56:01 SUM: 177  	b'\x14\xdc\xb6WR\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 224  	b'\x03\xdaA\x02\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 19  	b'\x03\x80\x00\xde\xc5\xd1\xef\xbc4\xd8\xb44\xb8\xe4 \x98\x03\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 141  	b'3\x00\xa8YF\xff\xb1\x07B\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 213  	b'3\x00\xa8\xef\xc5U\xd0\x80_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 240  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00oU\xc9\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 87  	b'\xce\x8fo\xcc\xcb_\x95\xcb\xdf\xaa\xd9\xe7\x00s\xf5I\xff}\x00\xc7\x9a\xa0\xa6h\x02\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 248  	b'\xc7\x80@x\x85\xe1_\x1c2\xf4\x9c\xb9\xe8$k\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 18  	b'\xc7\x80@~\x16\xa9\x0e\x1c\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 13:56:01 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 234  	b'3 (\xee\xc5q\xef2\x00\xdc\xae\x04\xdc\xde4\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 197  	b'\x9a\xda\xc7\x00\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 185  	b'\x9a\x80\x00\xde\xc5\xd1\xef\x85\x8c\xb9\n'
WRONG_SUM! 17/01 13:56:02 SUM: 3  	b'\x14\xdc\xb6W\x00\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 203  	b'\x03\xdaA\x06\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 155  	b'\x03\x80@\xde\xc5\xd1g\xbc4\xb8\xb44\x98\xe4 \x98\x03\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 249  	b'3\x00\xa8YF\xff\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 53  	b'3 \xa8\xef@U\xd0\x85_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 233  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 208  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x80s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 169  	b'\xceGo\xe6\xcb\xa9j\xf6?\xb5\xf6\xe7\x00s\xf5I\xff}\x00\xc7\x9a\x07g\x1f-\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 241  	b'\xc7\x80@x\x85\xe1\xdf\x1c2\xf4\x9c\xb9\xe8$\xd2\xa0\xc4\xb6<\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 10  	b'\xce\x16\xfc\x16\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 211  	b'\xc7\x00@\xf9\xb2Hs\xc0\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 13  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 13:56:02 SUM: 132  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00\xce\xfa\xae\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 131  	b'N \x87\xc6\xf1\xd1\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 49  	b'\xce@\xbf_\xbf\xba*\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 218  	b'3 (\xce\xc5q\xef2T\xdc\xae\x04\xdc\xde\x10\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 79  	b'\x9a\x80@/\x11\xa3\x7f\x01\x02\x02\x04\xec\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 196  	b'\x9a\xda\xc7\x01\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 154  	b'\x9a\x80@\xde\xc5\xd1\xef\x85\x8c\x98\n'
WRONG_SUM! 17/01 13:56:03 SUM: 177  	b'\x14\xdc\xb6WR\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 220  	b'\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 225  	b's\xf5I\xff\xa9q\xa6\xff\xd3~\xfe`\x01\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 179  	b'\x03\x80\x00\xde\xc5\xd1g\xbc4\x98\xb44\x98\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 74  	b'3 \xa8\x0f1\xed\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 181  	b'3 \xa8\xef\xc5U\xd0\x80_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:03 SUM: 105  	b'\xc2\x9a8\x03\x00'
