WRONG_SUM! 17/01 14:06:14 SUM: 254  	b'\x02\x00'
WRONG_SUM! 17/01 14:06:14 SUM: 77  	b'\xc7\x80@x\x85\xe1\xdf\x1c\x93\xa0\x9c\xb9\xe8$i\xa0\xc4\xb6<\x00'
WRONG_SUM! 17/01 14:06:14 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:14 SUM: 34  	b'\xc7\x80@~\x16\xa9\x0e\x0c\x00'
WRONG_SUM! 17/01 14:06:14 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:06:14 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:14 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:14 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:14 SUM: 45  	b'sd\xfc\x00'
WRONG_SUM! 17/01 14:06:14 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:06:14 SUM: 42  	b'3\x00(\xee\xc5q\xef2\x00\xdc\xae\x04\xdc\xde\x14\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 14:06:14 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 144  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 43  	b'S\xf5\xff\x92\xfe\xfe\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 197  	b'\x9a\xda\xc7\x00\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 121  	b'\x9a\x80@\xde\xc5\xd1\xef\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:06:15 SUM: 23  	b'\x00\xdc\xb6W\x00\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 75  	b'\xce\x8fo\xcc\xcb\xa9\xb5\xf6?\xb5\xf6\xe7\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 220  	b'\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 179  	b'\x03\x80\x80\xde\xc5\xd1\xef\xbc4\xb8\xb44\xb8\xe4 \x98\x03\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 151  	b'3 \xa8_1\xe4\xb1\x07B\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 176  	b'3 \xa8\xef\xc5U\xd0\x85_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 211  	b'\xf3N\xfe\xee\x00'
WRONG_SUM! 17/01 14:06:15 SUM: 211  	b's\xf5I\xff}\x00'
