WRONG_SUM! 17/01 14:06:31 SUM: 174  	b'\xa0\xc4\xb68\x00'
WRONG_SUM! 17/01 14:06:31 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:31 SUM: 110  	b'\xc7\x80@~\x16j\x07\x06\x00'
WRONG_SUM! 17/01 14:06:31 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:06:31 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:31 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:31 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:31 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 14:06:31 SUM: 86  	b'3 (\xce\xc5qg2T\xdc\xae\x0c\xdc\xde4\xdc\xae\x14\x1c\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 164  	b'\xc2\x9a8'
WRONG_SUM! 17/01 14:06:32 SUM: 253  	b'\x03\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 134  	b'\xc2\x80\x8e\x9f\x0b6'
WRONG_SUM! 17/01 14:06:32 SUM: 189  	b'\xe0s\x03\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 66  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4'
WRONG_SUM! 17/01 14:06:32 SUM: 115  	b'\x01\x00oU\xff\xc9\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 140  	b'\x9a\xda\xc7'
WRONG_SUM! 17/01 14:06:32 SUM: 152  	b'!\x00\x9a\x80\x00\xde\xc5\xd1\xef\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:06:32 SUM: 193  	b'\x04\xdc\xb6WR\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 229  	b'\xce\xb4\xc3\xb6\xf6\xa9\xb5\xf6?\xb5\xfb\xe7\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 150  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4'
WRONG_SUM! 17/01 14:06:32 SUM: 255  	b'\x01\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 179  	b'\x03\x80\x00\xde\xc5\xd1g\xbc4\xb8\xb44\xb8\xe4(\x98\x03\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 214  	b'3\x00\xa8YF\xff\xb1\x07'
WRONG_SUM! 17/01 14:06:32 SUM: 42  	b'\xd6\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 34  	b'3 \xa8\xefEU\xd0\xc0_\xac\xf0\x969\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 77  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x80s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 35  	b'\x03\xdaA'
WRONG_SUM! 17/01 14:06:32 SUM: 250  	b'\x06\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 239  	b'\xc7\x9a\xa0\xa6h\x02\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 132  	b'\xc7\x80@x\x85\xe1\xdf\x1c2\xe8\x9c\xb9\xe8$k\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 251  	b'\xc7\x80@~\x16j\x80\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 14:06:32 SUM: 71  	b'3\x10(\xef\xc5qg2T\xdc\xae\x04\xdc\xde\x1a\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 164  	b'\xc2\x9a8'
WRONG_SUM! 17/01 14:06:33 SUM: 253  	b'\x03\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 77  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x80s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 191  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7'
WRONG_SUM! 17/01 14:06:33 SUM: 106  	b'*|\xf6*|\xc6*|\xbe*\xc4'
WRONG_SUM! 17/01 14:06:33 SUM: 238  	b'\x01\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 3  	b'\xc2\x80@x\x85\x0f\x9e?%\x7f\x9f\x89\xc6*\xf4\xbe*\xf4\x06\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 243  	b'\x9a\x80\xa0/\x11\xa3\x7f\x01\x02\x02\x00\xec\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 140  	b'\x9a\xda\xc7'
WRONG_SUM! 17/01 14:06:33 SUM: 152  	b'!\x00\x9a\x80\x00\xde\xc5\xd1\xef\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:06:33 SUM: 23  	b'\x00\xdc\xb6W\x00\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 176  	b'\xceGo\xcc\xcb'
WRONG_SUM! 17/01 14:06:33 SUM: 125  	b'Rj\xf6?\xb5\xf6\xe7\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 248  	b'\xce\x16\xfc\x16\x01\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 230  	b's\xf5I\xff\xa9q\x02\xff\xd3~\xfer'
WRONG_SUM! 17/01 14:06:33 SUM: 255  	b'\x01\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 51  	b'\x03\x80@\xde\xc5\xd1g\xbc4\xb8\xb44\xb8\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 39  	b'3 \xa8\x0f1\xed\xb1\x07'
WRONG_SUM! 17/01 14:06:33 SUM: 42  	b'\xd6\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 221  	b'3 \xa8\xef\xc5U\xd0\x85_\xac\xf0\x969\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 97  	b'\xce\xfa\xd7\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 136  	b'N\x81\xbfW\xb6\xbe\x1f\x00'
WRONG_SUM! 17/01 14:06:33 SUM: 134  	b'\xc2\x80\x8e\x9f\x0b6'
