WRONG_SUM! 17/01 14:11:40 SUM: 71  	b'\xde\xc5\xd1\xef\x85\x18\xb9\n'
WRONG_SUM! 17/01 14:11:40 SUM: 177  	b'\x14\xdc\xb6WR\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 134  	b's\xf5I\xff\xa9q\x82\xfe\xfc4\x00\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 203  	b'\x03\x80@\xde\xc5\xd1\xef\xbc4\xb8\xb44\x98\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 29  	b'3 \xa8Y\x02\xff\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 208  	b'3\x00\xa8\xef\xc5U\xd0\x85_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 142  	b'\xce\x8f\xcf\xcc\xcb\xa9*\xf6?\xb5\xfa\xe7\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 158  	b'\xcet\x03\xbe\xd7\x01\xdbW\xf6\xc2\xd7\xbf\xf39\x1a\xf6o\x1a\xf6\x1f\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 86  	b'\xce\xbc\x03\xddo\x87\xfa9\x0e\xfa\x0f\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 203  	b'\x03\xdaA\x06\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 239  	b'\xc7\x9a\xa0\xa6h\x02\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 175  	b'\xc7\x80@x\x85\xe1\xdf\x1c2\xe8\x9c\xb9\xa1$k\xa0\xc4\xb68\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 22  	b'\xc7\x80@~yR\x0e\x0c\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 208  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x80s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 45  	b'sd\xfc\x00'
WRONG_SUM! 17/01 14:11:40 SUM: 70  	b'3 (\xce\xc5qw2T\xdc\xae\x0c\xdc\xde4\xdc\xae\x14\x1c\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 164  	b'\x9a\xda\xc7!\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 185  	b'\x9a\x80\x00\xde\xc5\xd1\xef\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:11:41 SUM: 197  	b'\x00\xdc\xb6WR\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 13  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 132  	b's\xf5I\xff\xa9q\x82\xfe\xfe4\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 147  	b'\x03\x80\x00\xde\xc5\xd1g\xbc4\xb8\xb44\x98\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 205  	b'3\x00\xa8Y\x02\xff\xb1\x07F\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 53  	b'3\x00\xa8\xef`U\xd0\x85_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 94  	b'\xce\x8fo\xe6\xcb\xa9\xb5\xf6?\xb5\xf6\xe7\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 10  	b'\xceB\xfc\xea\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 182  	b'S\xf5\xc9\x00\xc7\x9a\x07g\x1fK\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 220  	b'\x03\xdaA\x06\x00'
STATUS_OK 17/01 14:11:41 SUM: 0  	b'\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 71  	b'\x00\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 133  	b'\xc7\x80@x\x85\xe1O\x1c2\xf4\x9c\xb9\xe8$\xd2\xa0\xc4\xb68\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 99  	b'\xc2\x9a8\x03\x00\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 182  	b'\xc7\x00@~YR\x0e\x0c\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 80  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 14:11:41 SUM: 64  	b'3 (\xce\xc5q\xef2\x00\xdc\xae\x0c\xdc\xde\x1a\xdc\xae\x10\x1c\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 164  	b'\x9a\xda\xc7!\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 218  	b'\x9a\x80\x00\xde\xc5\xd1\xef\x85\x8c\x98\n'
WRONG_SUM! 17/01 14:11:42 SUM: 1  	b'\x14\xdc\xb6W\x02\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 134  	b's\xf5I\xff\xa9q\x82\xfe\xfc4\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 83  	b'\x03\x80@\xde\xc5\xd1g\xbc4\xb8\xb44\x98\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 119  	b'3 \xa8_1\xe4\xb1\x07b\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 212  	b'3\x00\xa8\xef\xc5U\xd0\x81_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 251  	b'\xce\x8fo\xcc\xcb\xbf\x95\x14\xbf\xaa\xd9\xe7\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 103  	b'S\xf5\xc9\x00\xc7\x9a\xa0\xa6h\x02\x00\xc7\x80@x\x85\xe1_\x1c2\xfc\x9c\xb9\xe8$\xd2\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 251  	b'\xc7\x80@~\x16j\x80\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 220  	b'\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 14:11:42 SUM: 126  	b'3 (\xce\xc5qo2T\xdc\xae\x04\xdc\xde\x10\xdc\xae\x10\x1c\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 147  	b'\x9a\x80\x00/\x11\xa3\x7f\x01\x00\x02\x02\xec\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 164  	b'\x9a\xda\xc7!\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 217  	b'\x9a\x80\x00\xde\xc5\xd1\xef\x85\x8c\x99\n'
WRONG_SUM! 17/01 14:11:43 SUM: 3  	b'\x14\xdc\xb6W\x00\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 207  	b's\xf5I\xff\xa9q\xa6\xff\xd3~\xfer\x01\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 203  	b'\x03\x80\x00\xde\xc5\xd1\xef\xbc4\xd8\xb44\xb8\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 74  	b'3 \xa8\x0f1\xed\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 248  	b'3\x00\xa8\xef\xc5U\xd0\x85_\x84\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 219  	b'\xce\x8fo\xe4\xcb\xbf\x95-\xbf\xaa\xd9\xe7\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 10  	b'\x00\xce\x16\xfc\x16\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 30  	b'\xceB\xfe\xd4\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 73  	b'S\xf5\xc9\x00\xc7\x9a\x07g}Z\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 69  	b'\xc7\x80@x\x85\xe1\xde\x1c2\xe8\x9c\xb9\xa1$\xd2\xa0\xc4\xb6<\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 97  	b'\xce\xfa\xd7\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 34  	b'\x00\xc7\x80@~\x16\xa9\x0e\x0c\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 169  	b'\x82\x9a8\x03\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 39  	b'NA\xbf\xd2Z_\n'
WRONG_SUM! 17/01 14:11:43 SUM: 51  	b'\x00\xce@\xbf_\xbf\xba(\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 35  	b'\x03\x9a\xff\x1d\x00\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 112  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\xe0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 240  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00oU\xc9\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:11:43 SUM: 164  	b's\xed\xfc\x00'
