WRONG_SUM! 17/01 14:20:03 SUM: 225  	b's\xf5I\xff\xa9q\xa6\xff\xd3~\xfe`\x01\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 83  	b'\x03\x80\x00\xde\xc5\xd1g\xbc4\xd8\xb44\xb8\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 106  	b'3\x00\xa8\x0f1\xed\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 98  	b'3 \xa8\xef@U\xd0\x80_\x84\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 109  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00oU\xc9\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 220  	b'\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 98  	b'\xc7\x9a\xa0\xa6h\x02\x00oU\xc9\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 55  	b'\xc7\x80@\xe1\xae\xfc8\xfa\x1c2\xf8\x9c\xb9\xe8${\xa0\xc4\xb6\x1c\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 226  	b'\xc7\x80@~\x16\xe9\x0e\x0c\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 86  	b'\xce\x8fo\xcc\xcb\xa9\xaa\xf6?\xb5\xf6\xe7\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 45  	b'sd\xfc\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 154  	b'3\x00(\xce\xc5qg2T\xdc\xae\x0c\xdc\xde\x14\xdc\xae\x10\x1c\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 7  	b'\xce\x16\xfe\x16\x01\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:20:03 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 77  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x80s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 78  	b'S\xf5\xffZ\xff\x12\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 164  	b'\x9a\xda\xc7!\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 97  	b'\xce\xfa\xd7\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 76  	b'N\x81\xbf\\\xc1\t\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 178  	b'\xce@\xbf_\xd1Q\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 154  	b'\x9a\x80@\xde\xc5\xd1\xef\x85\x8c\x98\n'
WRONG_SUM! 17/01 14:20:04 SUM: 3  	b'\x14\xdc\xb6W\x00\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 203  	b'\x03\x80@\xde\xc5\xd1\xef\xbc4\xb8\xb44\x98\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 209  	b'3\x00\xa8Y\x02\xff\xb1\x07B\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 125  	b'3\x00\xa8\xef@U\xd0\x85_\x84\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 224  	b'\x03\xdaA\x02\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 213  	b'\xf3V\xfc\xe6\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 98  	b'\xc7\x9a\xa0\xa6h\x02\x00oU\xc9\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 55  	b'\xc7\x80@x\x85\xe1O\x1c2\xe8\x9c\xb9\xe8$\xfb\xa0\xc4\xb6<\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 251  	b'\xc7\x80@~\x16j\x80\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 224  	b'\xce\x8fo\xcc\xcb_\x95\xcb\xbfR\xd9\xe7\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 126  	b'3 (\xce\xc5qg2T\xdc\xae\x0c\xdc\xde\x10\xdc\xae\x10\x1c\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:20:04 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:20:05 SUM: 205  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:05 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 14:20:05 SUM: 61  	b'S\xf5\xff\x80\xfe\xfe\x00'
WRONG_SUM! 17/01 14:20:05 SUM: 211  	b's\xf5I\xff}\x00'
